Brand,Type,Reg_date,Coe_left,Dep,Mileage,Road Tax,Dereg Value,COE,Engine Cap,Curb Weight,Manufactured,Transmission,OMV,ARF,Power,No. of Owners,Price,Coe_left_days,Coe_left_months,Brand_name
BMW M Series M6 Coupe,Sports Car,2016-04-14,4yrs 10mths 7days COE left),35500,42000,4568,139645,47000,4395,1850,2012,Auto,108276,166897,412,4,255800,1767,58.233333333333334,BMW
Mercedes-Benz AMG GT R Pro,Sports Car,2021-01-21,9yrs 7mths 14days COE left),82690,156,3922,344516,49489,3982,1650,2020,Auto,241799,407239,430,1,999888,3509,115.46666666666667,Mercedes-Benz
BMW X4 xDrive20i xLine,SUV,2020-10-30,9yrs 4mths 23days COE left),20150,6500,1210,76074,40301,1998,1730,2019,Auto,47571,58600,135,1,218800,3428,112.76666666666667,BMW
Mazda CX-3 2.0A Standard (OPC),SUV,2019-04-26,7yrs 10mths 19days COE left),8050,6380,710,37239,31000,1998,1290,2018,Auto,17038,17038,115,1,72000,2874,94.63333333333334,Mazda
Subaru Forester 2.0i-S EyeSight Sunroof,SUV,2019-09-12,8yrs 3mths 5days COE left),12180,32000,1208,43321,36001,1995,1591,2019,Auto,18058,18058,115,1,109800,3015,99.16666666666667,Subaru
BMW 2 Series 216i Gran Tourer Luxury,MPV,2020-12-30,9yrs 6mths 23days COE left),12260,4827,684,62031,32699,1499,1490,2020,Auto,34989,40985,80,1,137800,3488,114.76666666666667,BMW
Mazda 5 2.0A Sunroof,MPV,2017-05-16,5yrs 11mths 9days COE left),10300,63000,1210,47627,55414,1998,1535,2017,Auto,19597,19597,111,1,70999,2164,71.3,Mazda
Nissan Note 1.2A,Hatchback,2018-11-29,7yrs 5mths 22days COE left),7920,47000,508,29048,33798,1198,1048,2018,Auto,13438,5000,58,1,61800,2727,89.73333333333333,Nissan
Nissan Sylphy 1.6A Premium,Mid-Sized Sedan,2018-11-27,7yrs 5mths 20days COE left),8780,5269,742,30858,25000,1598,1205,2018,Auto,16212,16212,85,1,73800,2725,89.66666666666667,Nissan
Toyota Corolla Axio 1.5A X,Mid-Sized Sedan,2016-04-07,4yrs 10mths  COE left),8880,126000,682,28391,45000,1496,1090,2015,Auto,14472,9472,80,3,47700,1760,58.0,Toyota
Mercedes-Benz E-Class E300 Cabriolet AMG Line,Sports Car,2018-08-15,7yrs 2mths 8days COE left),24730,39152,1202,96718,32809,1991,1780,2017,Auto,69867,97761,180,1,226800,2623,86.26666666666667,Mercedes-Benz
Mercedes-Benz C-Class C180 Avantgarde,Luxury Sedan,2018-02-26,6yrs 8mths 19days COE left),16610,23958,740,61567,42322,1595,1425,2017,Auto,37239,44135,115,1,133800,2449,80.63333333333334,Mercedes-Benz
BMW X3 xDrive30i M-Sport,SUV,2020-12-14,9yrs 6mths 7days COE left),22120,8201,1210,86739,39500,1998,1745,2020,Auto,56781,74206,185,1,247800,3472,114.23333333333333,BMW
Mercedes-Benz E-Class E300 Cabriolet Mild Hybrid AMG Line Premium Plus,Sports Car,2021-05-25,9yrs 11mths 18days COE left),25200,88,1202,145777,58089,1991,1855,2020,Auto,80639,117151,200,1,309800,3633,119.6,Mercedes-Benz
Mercedes-Benz B-Class B180 Style,Hatchback,2019-07-26,8yrs 1mth 19days COE left),14130,10000,586,57498,39728,1332,1405,2019,Auto,29676,33547,100,1,131800,2969,97.63333333333334,Mercedes-Benz
